name,intro,url,opentype,englishName,definition,explanation,extend
BQ精神,"BQ精神，又名BQ思想或BQ理论,BQ的一系列理论思想都可以归纳为BQ精神。其在心理学和社会学具有极高的地位。BQ精神的精髓在于，愤恨一切比自己富有或者在某种领域比自己领先的人或事。
",http://www.baike.com/wiki/BQ%E7%B2%BE%E7%A5%9E,"心理学 社会科学 科学 网络游戏 ",,,,
DISC,,http://www.baike.com/wiki/disc,,,,,
HAPPY原则,"“HAPPY”原则国外比较流行的积极心理学。研究表明，与每周为爱人做5件事相比，在一周中挑一天为他(她)做5件事，更能让彼此感到快乐。
",http://www.baike.com/wiki/HAPPY%E5%8E%9F%E5%88%99,"健康 心理学 热点 ",,,,
Mr.Big恐惧症,"Mr.Big恐惧症，是对Mr.Big如领导、上级、大人物或名人产生的强烈恐惧或忧虑的精神疾病，在恐惧症中较为常见。恐惧的产生往往是生理、心理、家庭、社会、性格、工作及思维方式等多方面的因素综合作用的结果，可通过自我疗法等进行克服。
",http://www.baike.com/wiki/Mr.Big%E6%81%90%E6%83%A7%E7%97%87,"健康 心理学 疾病 ",,,,
NLP疗法,"NLP疗法，它被翻译成“身心语言程序学”，不好理解，对吗？简言之，NLP就是从破解成功人士的语言及思维模式入手，独创性地将他们的思维模式进行解码后，发现了人类思想、情绪和行为背后的规律，并将其归结为一套可复制可模仿的程式。美国科罗拉多政府曾给出了一个贴切的定义：NLP是关于人类行为和沟通程序的一套详细可行的模式。
",http://www.baike.com/wiki/NLP%E7%96%97%E6%B3%95,"健康 医学 心理学 生活 ",,,,
NQ,"NQ是萘醌（naphthoquinone）的简称。一种醌。分子式C10H6O2。理论上有6种萘醌，其中只有1，4-、1，2-和2，6-三种可以稳定制得。
",http://www.baike.com/wiki/NQ,"N开头单词 心理学 社会科学 科学 网络游戏 英文单词 英语 ",,,,
psychoneuroimmunilogy,"现代科学家利益看重这样一种观点，即人的思想，情感，行为和健康都是相互影响，相互依存的。他们的兴趣导致心理学出现了一个新分支，即健康心理学（又称为身心心理学，行为医学，或“psychosomatic medicine”），还有一个医学的新分支可称为心理精神免疫学（psychoneuroimmunilogy）。在这两个分支中，健康心理学研究的是心-身-神，包容性更加广博，而心理精神免疫学专门研究情感与免疫系统的关系。
",http://www.baike.com/wiki/psychoneuroimmunilogy,"P开头单词 心理学 社会科学 科学 英文单词 英语 健康心理学 情感与免疫 精神免疫学 ",,,,
Y-G性格测验,"Y-G性格测验是由日本京都大学教授矢田部达郎于1957年根据美国的吉尔福特J·P·Guilford)的个性量表修订而成的，Y—G是“矢田部一吉尔福德”的英文缩写。Y—G性格测验曾被用于日本的公务员考试。由130个测题，13个分量表（每个分量表10题）组成。
",http://www.baike.com/wiki/Y-G%E6%80%A7%E6%A0%BC%E6%B5%8B%E9%AA%8C,"心理学 性格 测验 ",,,,
《内在的探索》,,http://www.baike.com/wiki/%E3%80%8A%E5%86%85%E5%9C%A8%E7%9A%84%E6%8E%A2%E7%B4%A2%E3%80%8B,"心理学 社会科学 科学 灵修 ",,,,
《性倒错》,"性倒错是导致同性恋发生的部分或主要原因，一般性倒错我们可以称为性变态。而性变态包括的含义和现象就很广了。 　　
",http://www.baike.com/wiki/%E3%80%8A%E6%80%A7%E5%80%92%E9%94%99%E3%80%8B,"心理学 精神病学 心理健康 性心理 性心理健康 ",,,,
